ingredient,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Total
Barbecued Chicken,11.412121212121212,11.348484848484848,10.012121212121212,12.154545454545454,12.112121212121211,12.981818181818182,9.736363636363636,79.75757575757575
Red Peppers,72.94848484848485,72.84242424242424,69.66060606060606,73.7969696969697,85.25151515151515,77.97575757575757,61.472727272727276,513.948484848485
Green Peppers,23.12121212121212,22.1030303030303,22.37878787878788,23.524242424242424,26.048484848484847,26.663636363636364,19.790909090909093,163.63030303030305
Tomatoes,116.94242424242425,118.27878787878788,112.61515151515152,125.78787878787877,143.75454545454542,131.13333333333335,101.52121212121212,850.033333333333
Red Onions,89.28181818181818,85.84545454545454,83.80909090909091,91.48787878787878,99.73939393939395,93.96969696969697,74.45454545454547,618.5878787878785
Barbecue Sauce,11.412121212121212,11.348484848484848,10.012121212121212,12.154545454545454,12.112121212121211,12.981818181818182,9.736363636363636,79.75757575757575
Chicken,40.4939393939394,35.53030303030303,38.18181818181819,36.82424242424243,45.24545454545455,39.6030303030303,32.984848484848484,268.8636363636363
Artichoke,10.415151515151516,9.418181818181818,10.584848484848484,9.94848484848485,12.684848484848485,11.05151515151515,8.909090909090908,73.01212121212122
Spinach,42.593939393939394,40.451515151515146,42.169696969696965,39.32727272727273,51.842424242424244,45.054545454545455,36.59090909090909,298.0303030303031
Garlic,120.1030303030303,126.33939393939393,121.67272727272729,132.51212121212123,151.68787878787876,133.80606060606064,106.10303030303031,892.224242424242
Jalapeno Peppers,26.133333333333336,24.287878787878785,25.772727272727273,27.342424242424244,30.227272727272727,27.27878787878788,22.887878787878787,183.93030303030304
Fontina Cheese,14.996969696969698,13.83030303030303,15.25151515151515,14.254545454545454,17.203030303030303,15.484848484848484,11.984848484848484,103.0060606060606
Gouda Cheese,10.415151515151516,9.418181818181818,10.584848484848484,9.94848484848485,12.684848484848485,11.05151515151515,8.909090909090908,73.01212121212122
Mushrooms,40.727272727272734,39.36969696969696,40.11212121212122,37.9060606060606,45.43636363636364,41.809090909090905,32.81515151515151,278.17575757575764
Asiago Cheese,15.35757575757576,14.296969696969697,14.996969696969696,14.827272727272728,17.98787878787879,14.551515151515153,12.833333333333334,104.85151515151514
Alfredo Sauce,5.557575757575758,4.2,4.412121212121212,3.9454545454545453,4.390909090909091,4.327272727272727,3.287878787878788,30.121212121212125
Pesto Sauce,11.115151515151515,10.945454545454545,12.281818181818183,11.921212121212122,16.184848484848487,13.045454545454547,10.203030303030303,85.69696969696969
Corn,15.718181818181819,14.86969696969697,15.187878787878788,17.39393939393939,17.542424242424243,16.227272727272727,13.978787878787879,110.91818181818182
Cilantro,15.718181818181819,14.86969696969697,15.187878787878788,17.39393939393939,17.542424242424243,16.227272727272727,13.978787878787879,110.91818181818182
Chipotle Sauce,15.718181818181819,14.86969696969697,15.187878787878788,17.39393939393939,17.542424242424243,16.227272727272727,13.978787878787879,110.91818181818182
Pineapple,20.745454545454546,19.74848484848485,19.76969696969697,20.554545454545455,23.545454545454547,22.124242424242425,18.05151515151515,144.53939393939393
Thai Sweet Chilli Sauce,11.136363636363637,10.181818181818182,9.8,9.524242424242424,13.045454545454545,12.387878787878789,9.248484848484848,75.32424242424243
Bacon,14.530303030303031,14.33939393939394,14.381818181818183,14.403030303030302,17.436363636363637,15.56969696969697,13.087878787878788,103.74848484848485
Pepperoni,38.92424242424242,37.58787878787879,39.2,41.512121212121215,52.054545454545455,41.04545454545455,37.333333333333336,287.6575757575758
Italian Sausage,5.515151515151516,4.666666666666667,4.751515151515152,4.878787878787879,6.024242424242424,6.278787878787878,5.175757575757576,37.290909090909096
Chorizo Sausage,5.515151515151516,4.666666666666667,4.751515151515152,4.878787878787879,6.024242424242424,6.278787878787878,5.175757575757576,37.290909090909096
Sliced Ham,9.60909090909091,9.566666666666666,9.969696969696969,11.030303030303031,10.5,9.736363636363636,8.803030303030303,69.2151515151515
Mozzarella Cheese,44.9909090909091,47.981818181818184,47.32424242424242,51.54545454545454,58.99090909090909,47.06969696969697,42.93333333333334,340.8363636363636
Capocollo,28.445454545454545,32.900000000000006,26.621212121212125,33.875757575757575,38.35151515151515,31.796969696969697,27.809090909090912,219.80000000000007
Goat Cheese,14.763636363636364,17.13939393939394,12.239393939393938,16.078787878787878,20.575757575757578,16.672727272727272,13.278787878787877,110.74848484848485
Oregano,6.257575757575758,8.548484848484849,5.006060606060606,7.127272727272727,8.357575757575757,6.618181818181818,5.218181818181818,47.13333333333333
Anchovies,6.512121212121212,6.066666666666666,5.239393939393939,6.83030303030303,6.681818181818182,6.512121212121212,5.048484848484849,42.89090909090909
