pizza_type_id,name,category,ingredients,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
bbq_ckn,The Barbecue Chicken Pizza,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",269.0,267.5,236.0,286.5,285.5,306.0,229.5
cali_ckn,The California Chicken Pizza,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",245.5,222.0,249.5,234.5,299.0,260.5,210.0
ckn_alfredo,The Chicken Alfredo Pizza,Chicken,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce",131.0,99.0,104.0,93.0,103.5,102.0,77.5
ckn_pesto,The Chicken Pesto Pizza,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",95.0,89.0,107.0,102.0,126.0,86.5,83.5
southw_ckn,The Southwest Chicken Pizza,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",220.5,187.5,208.5,214.0,230.5,192.5,188.5
thai_ckn,The Thai Chicken Pizza,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",262.5,240.0,231.0,224.5,307.5,292.0,218.0
big_meat,The Big Meat Pizza,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",130.0,110.0,112.0,115.0,142.0,148.0,122.0
classic_dlx,The Classic Deluxe Pizza,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",212.5,228.0,227.0,224.5,269.0,219.0,186.5
hawaiian,The Hawaiian Pizza,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",226.5,225.5,235.0,260.0,247.5,229.5,207.5
ital_cpcllo,The Italian Capocollo Pizza,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",147.5,201.5,118.0,168.0,197.0,156.0,123.0
napolitana,The Napolitana Pizza,Classic,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",153.5,143.0,123.5,161.0,157.5,153.5,119.0
pep_msh_pep,"The Pepperoni, Mushroom, and Peppers Pizza",Classic,"Pepperoni, Mushrooms, Green Peppers",133.0,98.0,130.0,136.5,154.0,140.0,106.0
pepperoni,The Pepperoni Pizza,Classic,"Mozzarella Cheese, Pepperoni",211.0,212.0,205.5,246.0,341.5,219.5,240.5
the_greek,The Greek Pizza,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",184.0,163.0,159.5,191.5,229.0,230.0,114.5
brie_carre,The Brie Carre Pizza,Supreme,"Brie Carre Cheese, Prosciutto, Caramelized Onions, Pears, Thyme, Garlic",30.0,33.0,28.0,37.0,30.0,27.0,35.0
calabrese,The Calabrese Pizza,Supreme,"ï¿½Nduja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic",99.0,84.0,98.0,106.5,99.0,98.0,88.5
ital_supr,The Italian Supreme Pizza,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",189.0,211.5,191.5,251.0,220.0,212.5,189.5
peppr_salami,The Pepper Salami Pizza,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",133.5,160.0,147.5,168.5,199.0,144.0,153.0
prsc_argla,The Prosciutto and Arugula Pizza,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",126.5,142.0,123.5,146.5,182.5,144.0,141.0
sicilian,The Sicilian Pizza,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",156.0,190.5,191.5,207.5,214.5,198.5,133.0
soppressata,The Soppressata Pizza,Supreme,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic",108.0,104.0,110.0,101.5,106.5,104.5,72.5
spicy_ital,The Spicy Italian Pizza,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",200.5,202.5,170.5,211.0,288.0,237.0,190.0
spinach_supr,The Spinach Supreme Pizza,Supreme,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",97.5,78.0,102.0,88.0,121.5,97.0,72.0
five_cheese,The Five Cheese Pizza,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",186.0,194.0,182.0,200.0,234.0,180.0,160.0
four_cheese,The Four Cheese Pizza,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",202.5,253.5,259.5,261.0,278.5,232.0,190.5
green_garden,The Green Garden Pizza,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",89.0,82.5,76.5,78.5,100.5,94.0,62.0
ital_veggie,The Italian Vegetables Pizza,Veggie,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce",88.5,86.0,99.5,99.5,133.0,111.5,70.5
mediterraneo,The Mediterranean Pizza,Veggie,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions",112.0,82.5,78.0,85.0,115.0,88.5,79.5
mexicana,The Mexicana Pizza,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",150.0,163.0,149.5,196.0,183.0,190.0,141.0
spin_pesto,The Spinach Pesto Pizza,Veggie,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce",78.5,83.0,83.0,79.5,122.5,109.5,86.5
spinach_fet,The Spinach and Feta Pizza,Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",143.5,161.0,136.5,128.0,163.0,143.5,138.0
veggie_veg,The Vegetables + Vegetables Pizza,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",143.0,155.5,161.5,131.5,174.5,182.5,131.0
